order_id,products
5918,40174 38383 21903 46979 18465 49683
5921,4605 11109 47626 20114 27104 26209 18465 47209 21616
5989,24852 26047 15950 28071 18727 7963 21903 36342 46979 6492 39040 16797 28289 47209 30233 19057 41950
6067,31717 17794 27521 42736 46667 21543 41588 27104 260 26790 24852 47626 43352 7054 46979 41787 16083 4793 21137 42585 11068 10831 15221 9092 45066 14992 41950 11408 39275 15950 47766 48733 2326
6073,37710 13575 6184
6100,29794 12427 5161 46149 196
6104,21137 41453
6138,None
6222,28842 34126 37687 43868 13080
6275,16797 37592 38672
6313,24852 13187 37687 19348 45188 23322 47890 7644 28842 44359 38890 24010 44799 26604
6346,47626 37646 9092 25225 47766 45007 27086 42244 11913 19204 21137 42585 21616
6482,24186 42731 9623
6490,None
6506,47209
6530,46906 45066 13176
6533,25146 9762 47141 43772 21868
6535,37156 9124 17397
6645,22395 196 36227
6718,17461 24852 31371 45763 26096 12341
6751,21497 13176 27845
6763,30776 28879 31513 40706 29195 48577 48559 38456 27845 30011 24852 26634 24489 49264 31371 3717 7413 39781 29059 48140 4410 34969 6348 20995 47223 24535 14711 3661 28458 47766 30391 23765 30489
6932,36307 44116 22959
6967,49235 19677 45007 37067 30024
7000,49235 37919 9387 30406 9839
7074,35914 37067 20009 42265 46969 20876 20754 19660 21646 22035 14233 33647 33957 37552 6606 8012 17396 19821 47209 4297 42450 21616
7125,None
7187,35470
7213,43352 30162 12341 27477
7298,10388 24852 19006 47144 7419 45815 45066 10482 45763 39238 42585 17352 17584
7370,18656 24852 48190 19660 42160 35871 4920 33754
7373,31564 15120 17615 19691
7387,13380 29672 40706 30982 40396 13378 30635 8193 41860 8277
7508,24852
7594,40332
7617,27344 48679 20114 40706 26209 24852 47626 11440 25340 10749 44632 49075 9092 40002 45066 19393 33497 41149 24964 24841 23165 47156 24253 32197 4605 17461 29993 47766 28842 2326 49114 21616
7669,45066 36685 26604 27845
7671,39161
7683,None
7736,None
7788,28632 4233
7837,20327 3481 27845 46906 46969 26209 18465 8518 46069 25659 24852 47626 14462 46802 21137 44632 45066 45007 27156 14084 26604 39275 47766 26620 5646 9515
7868,13806 22123 24024
7908,24852 19348 39877 47630 36011 31915 36929
7909,28373 28204 1511 47144
7982,38558 13176 22035 21560 21903 45 3952 35594 5450 30489 23044 30233 26790 44632 8277
8030,37067
8038,43154 34503 47141 25691 5785 49683
8041,11520 47209 19893 13176 33813 22035 12674 16415 27845 12107 46969 43961 18243 48057
8111,39427 42265 27730 39275 40723
8156,3243 24852 47626 3765 3583 32655
8164,20463 28204 13176 27020
8185,22943 18104 5251 31954 15386 34467
8188,30492 16185 15630 13176 3599 33000 47893 32665 21903 45007 27086 27845 24964 24184 22935 30489 49683 41950 28985
8240,12606 9036 8277
8282,37950 44843 34969 28781 31766 47766 28993 19678 48287 1871 28204 1511 16797 21137 35221 13536
8284,49235 49628 13176 33237 21131 20161 6846 4213 10673 28154 16797 36691
8326,None
8363,8927 48775 13176 20842 19125 32734 46260 33120 24964 42265 26751 42585 32828
8418,None
8450,None
8458,12732 5157
8514,30776 35776 13176 34137 35951 38750 1118 4138 48559 27272 22959 42442 41110
8608,30776 45210 5876 10265 6402 23959 17027 36724 42265 39928 35221 7515 21174 141 21137 19057 35364 8174 23025 35461 47209 44471 8912 2979 44359 9421 27715 30489 34044 22677
8795,34640 9208 33095 13166 48083 5194 24669 45681
8865,21903 16528 28985
8876,27429 21709 49520 44267 21938 16703 42811 40277 15424 47877 26620 12817 38371 33198
8887,43523 27413 25830 42887 46023 41047 39041
8989,28553 28934 34325 436 8412 5485 340 32465 6347 42557 16965 46802 49683
9071,30776 18362 29112 21872 13176 13249 26768 24838 36735 15861 27086 13535 6187 9864 9421 15285 41328 2344
9175,24852 2780 27086 4825 5450 22115
9190,30450 21100
9272,13176 39275 33000 43352 16797 31805
9300,8424 24852 47626 21903 24964 49683
9318,None
9356,24852 11712 13176 19008 42736 24964 41787 12138 26209 34658 39837 22292
9391,38444 17415 17330 46822
9427,27966 3020 39275 36005 42460 48776 28199 5077 47083
9446,24964 47209 38777
9503,47766
9526,21137
9564,47325 11494 26298 27086 5450 26209 8193 28849 24489 19006 17526 23375 46979 23079 27966 43295 45578 42244 48595 15950 21903 2979 33352 17948
9824,45741 27104
10061,32689 43352 21903 21288 16797 46802 30827
10126,35886 35951 39275 33000
10176,39746 24852 17317 40486 39719
10338,28745 2361
10462,35689 13176 47766 16981 22935 5491 35958
10464,None
10537,26165 13176 44910 39928
10583,24852 32691 17871 25199 21903 4579 37349
10600,47766 35842 27845 21616 29045 8277
10620,29615 47209 24852 37347 5566
10772,None
10840,8424 21938 11481 47766 29487 15592 4796 46979 2295 26497 49191 25890 49683
10849,15482 25340 7753 19180
10955,30489 2611 5684 13176
11026,31343 13176 33731 4781 18465 12545 14651 33787 10121 8728 9366 23088 16797 43654 43726 48857 40174 44008 49111 47766 25936 15386 18523
11044,15412 2915 36480 4423
11145,12140
11224,23576 28597 40092 1090 39877 19895 19201 28204 7559 5785 2130 43726 23645
11326,36735 29312 38033 21267 13447 24852 19006 16262 10545 26842 25199 20574 1935 24024 35628 5640 6348 38988 10369 47766 46045 21616
11408,21709 24852 47766 5025 14947 24964 22935 26209 30489 21009 28849
11518,1439 14084 45223 24549
11549,17794 21903 45007 24964 5479 22935 24184 6218
11556,26165 5428
11606,24852 37449 25274 10768 2815 21610 14161
11623,10235 184 6128 43814 6348 2966 27275 49429 6724 27060 12683 12576 31964
11659,19348 48777 47597 27360 29315 43190 28599
11664,47626 14764 26351 34217 11777 45613 25890
11697,31651 9387 10441 46149
11749,32523 21903 18224 20693 26293 23685 46979 10070 7010 1463 25138 44683 2078 42579 21616
11849,29244 22825 1364
11888,6328 8736 28132
11943,24852 47766 12315 24964 43961 9825
11974,38809 7029
11987,4724 32478
11992,36764
11994,12606 37317 35561 40199 33768 39332 14488 13634 16797 12341 21292 30827 6615
12054,1541 24852
12184,31371 7676 47196 40174
12187,16696 12341 49683 5025
12233,24561 11520 24852 16349 47626 16953 22035 47144 18581 27663 15950 1896 46554 5077 41220 46650 23765 26209 21137 25695
12234,24838 7131
12253,49193 16192 17616 40174 21793
12258,21137 27966 42265 1999 10749
12323,21137 24852 27966 44632 27845
12338,16965 21463 41213 7350
12478,31717 6182 13245 38200
12517,19660 13176 49520 40571 4945 42265 33787 21137 47209 14992 28849 4957
12553,39180 22556 26620 46979 36969 16965 44632 24024
12571,47626 28823 47144 40078 30696 18811 16570 19057
12662,16987 13176 33768 33731 22825 34126 31504 7781 39928 18465 26369 16759 5785 21137 10749 43087 45007 8414 23165 31181 34243 28289 47209 14992 7084 48857 19934 343 35951 21903 30391 36746 3376 48015
12745,43739
12754,31981 32605 43209 24041
12846,None
12881,24852 13176 36865 43662 19678 8309 10096 44422 28204 47209 24024
12891,39408 26698
12894,27288 26047 21386
12938,48523 47766 33572 6081 27571
12948,44570 24852 42633 6046 2966
13003,8424 13176 33055 37766 14778 5161 1364 37538 3457 21526 28593 45570 21137 24195 10749
13024,44 38622 39877 34216 23192 20876 2019
13040,33000 27845
13085,49235 24852 47209
13128,17706 45066 20697 30146 14947
13132,20838 38267
13160,4605 13176 20842 7936 40396 38889 46226 7021 32553 9839
13188,18362 24852 27966 20327 5077 36011 7781 21137 47209
13195,30489 24852 39275 27521 30391 46979 21137 16797 4920 47630 8277
13210,4562 43068 40706 30975 38557 46906 28849 32303 25513 10736 37646 27247 15592 44570 35363 13219 14084 43014 29912 24184 31562 35784
13241,47209
13250,24852 38164 40706 21903 48109 24561 47209
13433,3896
13441,31100 26364 27845 20899 49610 43643
13471,38768 196
13497,47766 18673 9510 24184 19836
13533,17341 39796 54 21333 13388 43409 196 15924 29925 40261 44129 34280 16483 40348 44142 13578 43221 6166 17795 39581 27179 7380 21397 9409 35989
13534,33768 5258 30827 21288 21386
13545,43693 19643 196 649
13557,3957 4675 47766 9213 26209
13564,24852 37687 38400 45066 36389 8859 14992 42719
13608,None
13680,19057 17902 13176
13715,19348 2469 34026 27612 516 9176 7751 2157 5077 19863 15820 6686 6991
13733,49235 13176 35221 21903 33120 48123 21137 27845 24535 31955 19057 21019 28985
13747,17794 25670 22935 44987
13787,42562 6533
13812,11520 33731 27521 27845 46906 24852 47626 17256 16593 22035 39877 14947 20169 22935 16254 21137 44632 9839 22556 45066 40545 26604 48857 33000 35951 48110 30489 2078
13879,28761 24242 18702 29487 7806 3321 4274 8197 44632 35221 48957
13936,42741 13176 28820 20114 19376 46820 9076 27104 26209 1087 26717 47626 4472 44514 33741 26283 39448 20947 31964 9839 37646 45066 16398 31893 32781 23165 26165 16797 8968 47766 21903 7681 44359 24184
13977,651 5876 39877 24838 18027 21903 27521 30391 4149 9839
13982,21293 17334 30352 49227 44199 3562
14003,27966 13176 7175 37067 33682 2855 33015 27845 25146 47209
14049,6414 31964
14098,49235 21927 16489 6286 1447 287
14124,15290 13176 5876 8204 1429 41220 13702 12341 49683 41290 24852 43772 25931 432 37646 34358 27903 2091 15923 47766 30391 24184
14232,4920 15424 14788
14346,33894 24852 17600 44497 44948 18659 5176 45066 38936 15902 9547 42460 5077 3609 24239 8799 36070 17008 47209 20495 1006
14369,11869 9755 23909 24920 37354 6139 41400 6052 5818 47940
14407,34448 19173 17652 3631 5959 34134 38689 6615 13447 26790
14422,None
14453,45007 36676
14484,None
14616,27325 30776 44306 37687 33320
14697,6347
14729,24852 45116 14320 11210 5077 14493 4210 16797 16020
14750,31100 37067 22035 29447 21903 12392 47209 30233 10749
14773,33819 40199 5782 35909 46479 45061 27246 33464 30091 23560 25146 702 44632
14817,36591 26587 5918
14850,18023 7131 13176 31651 38928 6184 45051 12427 17122 13042
14936,3594
14974,24852 20842 43772 46870 25466 1940 44292 5077 30850 45930 31618 4428 38471 670 45835 16882 31640
14994,11520 1940
15028,4724 12341 16283 37687
15066,10962 19343
15067,8424 47766 45007 20995 44596 4799 22368
15069,1194 37029 23029 29996 36714
15076,36550 46088
15094,27966 47144 18465 5760 21137 19578 31987
15272,30489 11520 43961 13176 14112
15286,37766 43122 45066 21903 37959 28204 21137 26604
15332,16974
15345,24852 34283 19348
15375,8048 33000 43352 33768 11365 16283 21288 10685 12341 35652
15390,24852 41165 33636 7952 29127 26096 27531 17948 17949
15393,45051 31651 12427 38928
15400,19155 5077 46820
15422,24852
15447,11497 24852 27147 42538 20828 47144 47962 13944 49176 29487 45832 39059 4190 4210 40310 38028 44799 26250 12087
15481,4920 24852 23909 43209
15518,8174 27966 16824 39275 48745 37067 27521 21903 45007 46847 24964 10017 44099 25138 47209 41065
15553,5479 7515 24852 13431 47156
15718,27344 41665 23554 2298 9477 5077 27454 18465 27845 35221 21709 24852 47626 3599 42637 12545 5393 8277 26521 47209 4957 45537 17830 31618 25753 33754
15740,4662 38218 3990 44568 3696 40910 25237 41602 44142 7116 14218 37966 1543 7877 32440 13277 44315
15804,37710 42500 14233 196
15888,196
15928,23082
15972,13176 40706 27695 35939 26209 30024 18362 21709 22035 39877 45374 16396 6651 22935 42585 10749 38689 27509 11352 28476 37646 13870 5161 2091 30117 47209 45082 43122 21903 30391 42445 28597 30489 25072
16148,23909 23965
16160,49235 38771
16169,33894 30776 13176 7371 6128 5547 49544 32331 21137 38562 34565 13870 47792 15902 15325 19625 30117 20809 26165 11878 8580 29801 3661 33065
16225,37719 14846 40199 13176 32112 24838 19125 25305 8192 4920 35782
16258,35140 5876 22220 35951 42265 5428 26209 30489 6218
16287,13176 35561 21903 16797 12341 22839
16295,15290 48183
16323,28934 42736 26209 14150 8193 24852 47626 39180 22035 37374 21137 19057 42828 45066 38273 24964 4799 4605 28278 21872 44008 21903 5618 23836 9934 23879 21616
16467,13889 15439
16471,11520 37687 45066 45 47900 4812
16511,47626 13176 40706 45007 42265 21267
16593,27511 10722 43645 49131
16738,16797 21903 30827
16806,14126 47766 25890 28849 41463
16867,30489 28465 35213 36126 8277
16880,31981
16983,38028 24852 22622 43772 20345 28156 5959 6655 47209 46990 29310
17039,19660 39275
17044,19660 45066 47766 21903 40571 14917 24964 41787 28204 46820 16797 34786 24954
17051,46616 22935
17106,31036 48183 15520 41276 34024 27323
17124,15604 13176 13249 10108 1700 22825 3142 27845 4920 260 49175 24852 31371 25890 39781 44949 1090 47792 45066 36865 9071 34590 29363 16797 38028 22260 1757 36315 27741 47144 47766 21903 34067 44359 30489 24857
17151,None
17200,27344 17902 13176 40706 28601 42265 7781 26209 32655 8518 32747 6187 46979 26283 16589 25906 15050 21938 7963 45104 18839 28204 28745 4799 41950 20580 39275 6046 47766 21903 30391 17828 21295 30489 39040 21616
17209,None
17250,49235 13176 19348 33731 45066 33120 20995 42265 34128 31040 30489 42585 41950
17279,49235 47209 13176 27845
17396,13176 39180 30962 44414 36011 29675 21137 14633 19057 16521
17474,24852 13829 43961 40706
17575,24852 42828 21903 29594 22240 10749 5785 21137 19057 10070 21616
17751,None
17781,12919 33394 29307 25461 34126 8460 32331 11461 12232
17795,39475
17812,21709 24852 47626 21938 22556 39877 43352 26282 21903 45007 44765 30489 4920 8193 35221
17889,49235 35561 21572 43154 6184 45051 10441 32455 3298 13575 48762
18077,8745 2481 3856 24239 27307
18113,8424 47766 40332 20039 17008 3107 31134
18145,30630 13176 40156 47167 27913 17021 4210
18146,16797 12341 24852 28204 10199
18156,22124 30511 13176 41665 5782 6128 33129 18439 40878 33234 5077 30850 41602 46820 24010 33045 16234 39450 29373 34 47329 28634 2966 14399 25146 17829 10132 27966 13870 17616 14437 41148 36459 9322 2164 40486 2519 10673 459 24830 43961
18213,13176 8277
18221,24852 15290 47626 22035 8087 11513 45066 11481 47766 22825 21903 36695 27845 21137 260 44632
18258,27966 13176 19660 30391 37947 21137 14992 38689
18278,5514 47209 13176 35628 28476
18294,22124 24852 22035 39877 21903 39527 26914 29594 11992 44910 28289 47059 31964 4960 28985
18349,24852 12145 38453 23734 48628 22935
18362,18811 18288
18367,24852 13176
18383,None
18511,31343 13176 17794 40706 25005 6656 44075 42265 31720 15794 37825 39928 7598 46969 14596 1244 44397 18362 23543 21417 39877 5479 22935 44393 5785 17949 8277 32052 40691 2780 32134 16616 36389 28289 47209 34429 19548 39216 21903 16973 41315 30489 17948 4097 9515 25598
18531,27841 24852 37065 29309 31725 4210 34321 8474 459 23341 44683
18542,28934 47766 43154 34339 19101 5646 41950 45948
18551,39275
18559,43352 17949 24852 25199 40174
18582,13176 24489 10753 31635 15984 21903 11777 2592 8277
18635,21388 16262 44820 33731 31714 21137 38689 18205 21616
18649,13575 22507 13176 14715 21386
18660,36550 45066 16185 13176 5785
18671,21497 39844 13176 39877 8834 19906 15503 45453 35045 11777 41787 44570 21463 7781 27845 21137 11068 47788 26604 44661
18748,25718 47209 19611 13166
18836,40332 17805 42723 22906
18858,30489 24852 27325 33198 27086
18920,16953 34551 35267 31846 42475
18925,48679 27966 13176 14233 11777 5212
18937,5876 12846 43768 30391 44359 36389
18964,5764 48679 13176 47626 22035 40723 12614 24838 22220 27521 38963 31263 46654 15995 5450 4920 42585 31869 13646
18967,4605 4562 6046 7641 30696 37113 10673 47357 37377 9076 5450 10613 5750
18996,43988 117 8859 31654
19099,11712 43394 45007 14966 47209 15028 33198
19263,13176 40852 6361 30639 27104 21137
19292,24852 47626 42828 28204 38159 36011 21137 14084
19299,41455 24235 28928 17616 387 5077 41148 44632 36144
19361,24852 35951 17948 49236
19388,31717 17795 13176 27521 24964 47734 24830 43961 10749
19420,24852 49628 11712 22035 46906 12941 8912 32018 39468 42443 29557 16797 4920 42585 30908 26604 22210
19438,1559 5322 24852 13870 47626 34262 21376 42342 14858 32033 20710 21543 12813 30489 49683 33754
19443,25659 30776 24852 47626 13733 21938 20114 21198 33245 33873 20869 40396 16589 43789 24184 31915 39947 39190 12576 45747 41950
19506,31960 25986 18670 20261 13532 29660 34986 45064 16797 10497 12576 17807 19604 18721
19588,16797 47626 27966
19619,None
19719,27966 13176 5876 23029 41806 39303 14966 38033 8859 5450 47209 42579
19727,12341 20019 40120
19759,None
19774,31611 16185 13176 37646 21903 32981 27086 24964 33198 40604 18113 24561 35221
19786,27554 30764 13176 4781 32033 46667 42265 31040 46969 39190 47626 9637 3957 43713 1096 5428 46802 19057 37838 37646 34224 7963 18382 10586 22915 44201 30219 4957 47766 11945
19836,17461 22035 43352 47766 29307 16083 41065 19057 38689 9839 42110
19883,24852 33819 43772 32851 30696 37940 45135 11826
19927,24852 47626 40706 21903 22164 3957 24184 16797
19974,47626 5876 24964 45268 39812 47546
20130,6201 18104 29309 40571 39411 15820 17807 10145 41148 9779 33754
20158,24852 37646 40706 21903 36865 13806 42265 28204 16616 7090 30489 47209
20220,33894 23909 31725 32043 10326 9796 4517 32915 41290 3171 24852 33819 46023 5287 40592 39527 39921 39297 16797 14131 8898 4138 38146 14636
20235,24852 42633 18035 29926 6046 38164 34 22963 40334 42342 46627 13166 11950 18641 25837 30489 32655 31883 33198 24799
20345,27344 15290 13176 10753 14870 42265 7781 27548 24852 15399 43352 41787 28465 21137 47672 27966 37646 45066 7916 17652 26165 34511 23043
20410,49235 13176 5876 40706 21903 32578 40396 34126 5077 28204 47209 25753
20502,24852 27966 18564 20114 44008 7673 1463 26351 29447 44765 47059 365 46979 41220 26209 19677 1695 2344 28476
20504,27966 13176 37687 35951 30391 21903 30795 7413 18465 17948 32553 28985
20524,38615 24852 45296 12068 32115 37849 31509 8859 49139 5818 44799 24703
20525,24852 30233 42719
20750,27554 27307 47626 9124 22308 23505 19218 8859 33957 6606 21938 7644 40777 47211 22598 36274 4210 2295 12916 44528 24184 15469 13783
20765,16953 24852 27966 40174 20824 47766 14947 26133 40332 16797 35252 35221 10032
20797,21903 8518
20801,None
20806,24852 19348 13287 37886 39698 12276 26505 7413
20851,1890 24852 24184
20852,37241 29529 12608 196 17912 14252 13643 43631
20872,14740 19348 13755
20894,39251 32981
20898,49235 23054 38558 23148 25837 22149 5785 6750 30233 41565
20975,19511 37436 22340
21043,49235 49628 24489 5785 22151 18523 41596 42265 12023 33787 36011 46802 42557 33754 4957
21103,17122 21292 46149 21386
21109,49381 47209 19348 26209
21121,4605 24852 39408 18523 10673
21129,None
21194,11520 24852 48679 24838 48287 36285 48559 39947
21198,18023 27790 21903 10326 43720 35336 15200 21137 42701
21227,17461 21162 19046 13025 49583 28204 13629 47209
21232,None
21262,36550 24852 13176 44560 28204 24184
21279,15125 24852 26384 39993 3308 3040 6846 8859 49342 4210 9515
21297,4724 13176 43352 20940 6184 1689 16797 4920 12341 36472
21309,24852 1069 17600 2770 27913 37294 34163 30949 10957 17316
21455,11520 47626 13176 39275 4410 35834 45066 40706 47766 5514 24964 21137 43086
21517,34466 49235 17794 21903 14218 26209 49683
21569,21903 49683
21591,213 39046 31102 36923 2140 6899 7274 36969
21602,None
21611,35495 4372 31467 7388 3682 3396 5240 31927 2855 24964 7485 6268 24184 46226 11068 36929 41950 23801
21628,11422 29447 24838 48171 4472 2855
21882,21903 26940
21912,4562 37658 39275 29373 43094 7778 8195 44683 8277
21937,24852 47626 39993 34050 27428 28174
21941,31343 9339 48679 12341 28928 40233 31205 41544 40706 21903 46979 33401 27845 43961 25133
21969,4920 43961 25890 20842 21019
21990,24852 8671 35914 16994 30696 17616 25861 42193 10246 21137 34950 5750
22033,4605 47626 47766 43662 20114
22049,None
22058,34358 24838 41806 45763 40604 17704 33381 35547
22124,3957
22159,24852 30811 46886
22213,2913 40709 43929 35221
22240,16185 4562 43772 31030 5025 14952 29743 46361 44177 17691 6789 24203 5408 33671 15221 12916
22245,42265 13176 27521
22249,14999 27344 24852 15780 12053 23763 45674 28427 31683 519 27761 19213 31231
22255,13176 22170 22963 40706 11123 8518 26790 41375 5015 20632 2086 11352 27966 34943 26165 18531 15226 18677 33198 30391 25466 3835 24079
22285,43352 20940 21903 30827 21292
22323,24273 12296 26119 14118
22324,3820 47877 46992 13328 33090 31231 11123
22336,30489 11520 24852 16004 40706 47766 24964 46979 17284 47734 27104 16797 12395 28985
22447,22963 33873 23452 37691 11068 44632 6615
22453,24852 19660 32734 41610 45007 12872 39928 47630 40992
22467,38739 13176
22503,42958 42828 8736 6287 37067 22151 21903 20437 34993 45603 44359 17044 21137 8518 41950
22629,49235 24852 13176 20842 33000 44987 48695 48377 10851 5077 46572 30994 39190 18105 33754 4957
22923,14652 23233 13176 23029 21938 39216 13031 48682 45007 43961 32537 21634 27104 21137 39190 19057 15070 7156
22935,16185 24852 1234
22941,47626
22955,5479 30639 18389
23032,18926 1940 5077
23071,27966 5115 4942 21903 47766 16759 29487 24964 45303 21137 38689
23097,43352 13176 26604
23099,39408 43772 26318 15100 6369 44799 9558
23221,47792 35951 5025 26298 5134 17872 7781 32465 8193 31612
23255,45679 24852 5564 13519 5684 40709 47766 30391 30059 19678 28601 43713 33647 44359 5646 46616 18465 210 27509
23270,19863 24361 25830
23281,48946 21469 13176 22963 22825 27086 45223 18606 25623 17224 5322 30726 22035 13512 9637 14917 18523 15693 33787 5785 21137 46676 27966 37646 6069 32864 39964 22367 10586 38656 13877 1463 4957 13646 39332 33572 28199 39475 46226 33754
23318,24852 25965 23148 2855 28204 11865 13702 24631 40258 6300
23367,None
23379,24852 13176 3308 20561 20632 20851
23392,24852 13176 4210 26209
23440,12075 24852 47766
23500,13176 24838 3957 35842 18070 27695 49416 27104 43086 44632 44624
23528,5782 46341 9292
23541,9411
23547,4605 11233 24852 14780 49098 7930 35342 22108 32915 41351
23626,30489 40852 19446 46650 15767
23668,11520 24852 16589 24838 35547
23854,47141 10032 25443
23873,24852 35951 21903 45 28204 30489 43961 44632
23877,23516 39619 29898 23029 8091 17794 32782 42507 21137 47209
23906,13176 29447 47766 46620 28199 44359 31915 39928 260 9839
23910,11266 6184 26348 42803 12427 3298 12341 39657
24131,27521 45448 48988 24964 3397 11707 1504 4029 41950
24153,31717 13176 29487
24185,36737 9444 31231 30489 21137 44201 47119
24212,27423
24223,None
24237,8048 13176 39275 35561 33000 43352 21288 16797 21292 30827
24265,None
24333,20940
24335,None
